sample ID;Latitude;Longitude;Year;season;Month;Day;Date;d15N;d13C;dist;chla_2m;sst_2m;mld_2m;wind_2m;PPv_2m
213;56.747;-43.597;2016;2;6;13;2721;5.183403787;-22.38404866;306.8410786;1.259002645;4.058526516;27.95945875;8.446191811;657.7665482
214;44.838;-3.902;2014;2;6;17;1994;8.609656988;-23.17046281;81.65063458;0.246778359;15.29195595;13.25804164;6.328339763;448.5316525
215;59.432;-32.763;2017;2;6;4;3077;4.855009575;-24.43134387;520.7379305;0.550249428;5.820306301;65.10198747;9.57921097;433.3038897
216;59.185;-33.202;2017;2;6;4;3077;4.479200889;-24.29008417;511.0036863;0.598525763;5.663415432;46.65329746;9.636171713;437.4810268
217;57.927;-35.297;2017;2;6;4;3077;4.545010737;-24.74434713;462.0970102;0.619806121;5.152123928;42.02298895;9.587189607;409.7236684
218;55.462;-39.58;2017;2;6;5;3078;5.102174916;-24.54882035;505.5160492;1.043703369;4.464074612;37.74039135;9.041400577;564.0618853
219;54.987;-40.402;2017;2;6;5;3078;5.508011938;-24.03698199;538.5051317;1.081728256;4.392938137;40.23940713;8.943728119;563.3786377
220;54.507;-41.203;2017;2;6;5;3078;NA;-24.63506242;577.4635011;1.215139727;4.409692287;29.99569382;8.837436787;609.9335988
221;54.022;-41.987;2017;2;6;5;3078;4.927044301;-24.30333684;620.9176436;1.543937349;4.567681789;29.50289492;8.655386897;659.8594238
222;53.532;-42.75;2017;2;6;5;3078;5.411989143;-24.13388099;656.6916513;2.030473749;5.060327053;31.3515162;8.636273016;811.1846517
223;53.285;-43.127;2017;2;6;5;3078;4.860250733;-23.6512782;630.0139789;1.483738482;5.31591177;29.68300416;8.590556924;722.3643188
224;56.163;-38.312;2017;2;6;4;3077;5.710345134;-23.60049539;473.7962147;1.143133038;4.542260647;49.18233144;9.290342972;596.4142944
225;55.93;-38.74;2017;2;6;4;3077;4.399247201;-24.74435361;483.2679492;1.033244562;4.524102688;38.62342696;9.280958247;552.2245789
226;51.082;-46.302;2017;2;6;6;3079;7.698115725;-22.12605577;390.2657911;1.326746093;5.741662502;33.28268754;8.508610769;692.2205985
227;61.917;-29.3;2018;2;6;21;3459;NA;-23.41802767;268.1759873;0.754470004;6.918847561;39.47644435;8.410399378;622.1617304
228;62.167;-28;2018;2;6;21;3459;NA;-22.6654704;209.5271165;0.52974703;7.115441799;36.45461147;8.197897757;536.9327557
